year,student_name,eng,urdu,isl,math,phy,comp,che
2011,IIIII,54/100,100/100,59/100,93/100,59/100,86/100,65/100
2015,HHHHH,82/100,98/100,86/100,85/100,98/100,71/100,83/100
2017,WWWWW,95/100,73/100,58/100,59/100,82/100,66/100,65/100
2023,TTTTT,58/100,52/100,90/100,93/100,64/100,60/100,85/100
2010,KKKKK,56/100,60/100,61/100,97/100,56/100,65/100,95/100
2011,FFFFF,60/100,92/100,7/100,12/100,45/100,77/100,35/100
2021,AAAAA,59/100,84/100,56/100,54/100,91/100,100/100,67/100
2015,LLLLL,66/100,71/100,55/100,64/100,76/100,80/100,83/100
2015,KKKKK,32/100,61/100,61/100,84/100,95/100,28/100,34/100
2013,WWWWW,92/100,53/100,84/100,54/100,69/100,50/100,74/100
2012,AAAAA,42/100,35/100,83/100,16/100,57/100,88/100,67/100
2018,QQQQQ,62/100,65/100,80/100,65/100,96/100,67/100,91/100
2016,YYYYY,27/100,62/100,89/100,95/100,25/100,21/100,57/100
2020,EEEEE,89/100,99/100,63/100,57/100,78/100,63/100,72/100
2008,HHHHH,60/100,43/100,17/100,89/100,14/100,32/100,85/100
2018,FFFFF,88/100,78/100,88/100,60/100,88/100,93/100,71/100
2017,YYYYY,28/100,9/100,2/100,54/100,92/100,6/100,5/100
2019,EEEEE,50/100,52/100,57/100,63/100,25/100,34/100,28/100
2018,SSSSS,97/100,63/100,57/100,81/100,97/100,59/100,60/100
2015,ZZZZZ,24/100,15/100,91/100,13/100,7/100,83/100,76/100
2021,MMMMM,83/100,32/100,96/100,67/100,60/100,6/100,80/100
2018,JJJJJ,90/100,99/100,86/100,78/100,96/100,98/100,74/100
2018,CCCCC,91/100,20/100,32/100,66/100,54/100,24/100,92/100
2017,IIIII,97/100,94/100,84/100,57/100,67/100,99/100,78/100
2020,GGGGG,53/100,67/100,77/100,75/100,88/100,65/100,91/100
2010,PPPPP,96/100,52/100,70/100,56/100,89/100,54/100,93/100
2018,WWWWW,74/100,80/100,97/100,88/100,86/100,84/100,100/100
2020,IIIII,6/100,12/100,4/100,87/100,1/100,43/100,13/100
2021,NNNNN,76/100,80/100,17/100,71/100,39/100,21/100,97/100
2017,UUUUU,1/100,83/100,49/100,48/100,63/100,83/100,98/100
2006,PPPPP,60/100,61/100,40/100,89/100,93/100,52/100,57/100
2015,TTTTT,73/100,63/100,62/100,66/100,76/100,86/100,59/100
2021,GGGGG,73/100,27/100,22/100,15/100,62/100,17/100,99/100
2022,YYYYY,28/100,25/100,20/100,21/100,47/100,95/100,5/100
2012,XXXXX,24/100,80/100,42/100,53/100,90/100,76/100,3/100
2007,TTTTT,82/100,90/100,94/100,59/100,84/100,18/100,24/100
2007,HHHHH,65/100,84/100,52/100,90/100,65/100,64/100,60/100
2011,ZZZZZ,71/100,36/100,43/100,9/100,71/100,50/100,13/100
2007,ZZZZZ,5/100,82/100,54/100,95/100,89/100,49/100,24/100
2008,KKKKK,14/100,2/100,5/100,27/100,49/100,19/100,6/100
2008,PPPPP,96/100,60/100,52/100,77/100,73/100,75/100,76/100
2013,XXXXX,41/100,18/100,81/100,21/100,8/100,67/100,47/100
2010,AAAAA,86/100,96/100,63/100,62/100,61/100,99/100,59/100
2020,WWWWW,77/100,84/100,53/100,57/100,99/100,91/100,87/100
2006,UUUUU,67/100,54/100,55/100,94/100,65/100,73/100,82/100
2022,OOOOO,71/100,97/100,97/100,63/100,93/100,65/100,81/100
2007,LLLLL,33/100,51/100,9/100,13/100,95/100,82/100,79/100
2013,MMMMM,7/100,46/100,18/100,19/100,76/100,59/100,6/100
2019,YYYYY,70/100,67/100,40/100,43/100,2/100,10/100,78/100
2019,QQQQQ,89/100,50/100,69/100,88/100,65/100,51/100,81/100
2011,BBBBB,68/100,84/100,85/100,69/100,67/100,86/100,69/100
2009,WWWWW,25/100,69/100,25/100,40/100,70/100,46/100,24/100
2006,FFFFF,52/100,94/100,51/100,72/100,79/100,76/100,84/100
2019,HHHHH,98/100,82/100,80/100,69/100,13/100,85/100,98/100
2011,CCCCC,90/100,92/100,97/100,100/100,61/100,62/100,83/100
2013,FFFFF,91/100,84/100,83/100,76/100,96/100,65/100,82/100
2016,WWWWW,74/100,70/100,88/100,83/100,85/100,76/100,69/100
2018,MMMMM,74/100,97/100,68/100,74/100,79/100,73/100,67/100
2014,MMMMM,94/100,83/100,62/100,49/100,95/100,12/100,74/100
2021,DDDDD,61/100,88/100,72/100,74/100,93/100,87/100,67/100
2014,WWWWW,56/100,50/100,91/100,52/100,59/100,78/100,57/100
2023,CCCCC,77/100,100/100,72/100,94/100,79/100,56/100,93/100
2022,KKKKK,89/100,67/100,25/100,48/100,29/100,69/100,76/100
2006,QQQQQ,42/100,54/100,82/100,7/100,30/100,21/100,53/100
2021,LLLLL,18/100,13/100,1/100,53/100,34/100,89/100,77/100
2015,XXXXX,3/100,18/100,84/100,50/100,61/100,79/100,43/100
2019,BBBBB,39/100,82/100,51/100,62/100,49/100,51/100,19/100
2006,JJJJJ,9/100,15/100,22/100,30/100,81/100,57/100,90/100
2023,GGGGG,53/100,31/100,90/100,51/100,94/100,24/100,60/100
2010,BBBBB,62/100,81/100,88/100,66/100,74/100,94/100,89/100
2010,XXXXX,61/100,47/100,39/100,44/100,65/100,57/100,19/100
2013,UUUUU,76/100,60/100,74/100,100/100,66/100,74/100,58/100
2012,EEEEE,80/100,39/100,10/100,98/100,77/100,96/100,11/100
2018,YYYYY,78/100,80/100,62/100,56/100,78/100,57/100,73/100
2010,OOOOO,84/100,85/100,90/100,63/100,97/100,96/100,79/100
2007,GGGGG,98/100,86/100,56/100,66/100,89/100,67/100,56/100
2020,OOOOO,99/100,64/100,88/100,79/100,55/100,91/100,52/100
2021,YYYYY,73/100,67/100,54/100,73/100,86/100,80/100,57/100
2022,SSSSS,79/100,74/100,98/100,73/100,58/100,97/100,94/100
2022,TTTTT,74/100,94/100,81/100,59/100,92/100,96/100,63/100
2008,NNNNN,68/100,69/100,69/100,65/100,63/100,66/100,63/100
2012,KKKKK,76/100,81/100,64/100,96/100,68/100,56/100,64/100
2016,NNNNN,37/100,4/100,44/100,56/100,56/100,94/100,82/100
2017,EEEEE,93/100,13/100,95/100,55/100,32/100,11/100,98/100
2007,YYYYY,52/100,95/100,55/100,80/100,61/100,66/100,98/100
2006,XXXXX,13/100,30/100,45/100,58/100,23/100,64/100,24/100
2019,VVVVV,22/100,93/100,65/100,70/100,71/100,71/100,92/100
2011,YYYYY,59/100,92/100,70/100,84/100,84/100,74/100,87/100
2011,VVVVV,16/100,36/100,35/100,25/100,47/100,25/100,5/100
2007,XXXXX,57/100,50/100,87/100,59/100,95/100,76/100,88/100
2007,NNNNN,73/100,51/100,75/100,91/100,60/100,97/100,91/100
2009,BBBBB,57/100,96/100,57/100,56/100,63/100,65/100,32/100
2015,BBBBB,54/100,81/100,68/100,53/100,91/100,90/100,65/100
